"","Latitude","Longitude","cd1","cd2","cd3","wd1","wd2","wd3"
"590",36.25,-146.9333,0,0,0,0,0,0
"591",37.6333,-146.0167,0,0,0,0,0,0
"592",37.8667,-143.3333,0,0,0,0,0,0
"593",38.0833,-141.0167,0,0,0,0,0,0
"594",38.1667,-137.6833,0,0,0,0,0,0
"595",38.3167,-134.7667,0,0,0,0,0,0
"596",38.15,-132.2,0,0,0,0,0,0
"597",23.25,-156.8833,0,0,0,0,0,0
"598",24.5333,-155.1833,0,0,0,0,0,0
"599",26.1167,-153.3167,0,0,0,0,0,0
"600",27.8333,-151.3333,0,0,0,0,0,0
"601",29.9667,-149.95,0,0,0,0,0,0
"602",32.2667,-148.85,0,0,0,0,0,0
"603",34.7167,-147.7333,0,0,0,0,0,0
"604",36.4,-146.3667,0,0,0,0,0,0
"605",36.7167,-143.9167,0,0,0,0,0,0
"606",36.75,-141.3,0,0,0,0,0,0
"607",36.9,-138.7667,0,0,0,0,0,0
"608",37.3167,-135.8333,0,0,0,0,0,0
"609",36.55,-148.9833,0,0,0,0,0,0
"610",36.6333,-146.6167,0,0,0,0,0,0
"611",24.5333,-157.9667,0,0,0,0,0,0
"612",28.7167,-156.6833,0,0,0,0,0,0
"613",31.5667,-153.5833,0,0,0,0,0,0
"614",34.5833,-151.5167,0,0,0,0,0,0
"615",37.25,-148.8833,0,0,0,0,0,0
"616",39.3333,-147.3167,0,0,0,0,0,0
"617",39.2167,-142.85,0,0,0,0,0,0
"618",38.8025,-138.6878,0,0,0,0,0,0
"619",38.85,-134.1,0,0,0,0,0,0
"620",38.5833,-130.1333,0,0,0,0,0,0
"621",39.1,-125.3167,0,0,0,0,0,0
"622",28.265,-157.4175,0,0,0,0,0,0
"623",33.9758,-156.0402,0,0,0,0,0,0
"624",36.5049,-155.274,0,0,0,0,0,0
"625",37.4767,-156.675,0,0,0,0,0,0
"626",37.5417,-152.4833,0,0,0,0,0,0
"627",37.5277,-152.2349,0,0,0,0,0,0
"628",37.2667,-145.2667,0,0,0,0,0,0
"629",31.1333,-159.5167,0,0,0,0,0,0
"630",34.1833,-159.1667,0,0,0,0,0,0
"631",36.1833,-158.2167,0,0,0,0,0,0
"632",29.8167,-156.9667,0,0,0,0,0,0
"633",30.9333,-156.5667,0,0,0,0,0,0
"634",32.9,-155.6667,0,0,0,0,0,0
"635",32.3833,-154.65,0,0,0,0,0,0
"636",33.9833,-151.3333,0,0,0,0,0,0
"637",35.9833,-148.8167,0,0,0,0,0,0
"638",37.3833,-146.0333,0,0,0,0,0,0
"639",37.1,-142.0333,0,0,0,0,0,0
"640",26.0945,-157.3422,0,0,0,0,0,0
"641",36.3092,-150.9315,0,0,0,0,0,0
"642",35.775,-149.31,0,0,0,0,0,0
"643",32.95,-159.55,0,0,0,0,0,0
"644",38.9667,-161.7833,0,0,0,0,0,0
"645",40.1167,-162.95,0,0,0,0,0,0
"646",43.0667,-160.2667,0,0,0,0,0,0
"647",46.65,-151.7167,0,0,0,0,0,0
"648",38.0762,-152.3518,0,0,0,0,0,0
"649",35.7733,-153.6367,0,0,0,0,0,0
"650",37.8873,-149.5742,0,0,0,0,0,0
"651",38.0007,-141.9933,0,0,0,0,0,0
"652",38.1875,-138.8018,0,0,0,0,0,0
"653",36.6393,-128.1462,0,0,0,0,0,0
"654",35.7667,-124.5,0,0,0,0,0,0
"655",24.3667,-156.1667,0,0,0,0,0,0
"656",27.4833,-154.3,0,0,0,0,0,0
"657",32.4,-150.9667,0,0,0,0,0,0
"658",36.55,-146.5,0,0,0,0,0,0
"659",36.1,-142.9,0,0,0,0,0,0
"660",35.7,-139.95,0,0,0,0,0,0
"661",36,-136.1,0,0,0,0,0,0
"662",22.1333,-158.0833,0,0,0,0,0,0
"663",22.8333,-158.6667,0,0,0,0,0,0
"664",24.25,-156.7833,0,0,0,0,0,0
"665",25.5333,-155.5,0,0,0,0,0,0
"666",26.6333,-154.1667,0,0,0,0,0,0
"667",30.5,-150.4667,0,0,0,0,0,0
"668",31.4,-148.1167,0,0,0,0,0,0
"669",35.1833,-147.7,0,0,0,0,0,0
"670",33.4167,-144.7667,0,0,0,0,0,0
"671",33.7167,-139.45,0,0,0,0,0,0
"672",33.1667,-136.4333,0,0,0,0,0,0
"673",31.5667,-132.3,0,0,0,0,0,0
"674",31.5167,-127.8667,0,0,0,0,0,0
"675",34.1667,-119.8,0,0,0,0,0,0
"676",31.2552,-158.1222,0,0,0,0,0,0
"677",31.6334,-156.0684,0,0,0,0,0,0
"678",33.0571,-153.8981,0,0,0,0,0,0
"679",32.9783,-154.145,0,0,0,0,0,0
"680",29.0717,-155.0567,0,0,0,0,0,0
"681",30.025,-155.03,0,0,0,0,0,0
"682",30.9867,-154.77,0,0,0,0,0,0
"683",30.985,-154.235,0,0,0,0,0,0
"684",30.775,-152.9033,0,0,0,0,0,0
"685",30.67,-152.4833,0,0,0,0,0,0
"686",30.6667,-150.885,0,0,0,0,0,0
"687",30.9017,-150.44,0,0,0,0,0,0
"688",31.49,-149.2467,0,0,0,0,0,0
"689",31.9917,-148.9783,0,0,0,0,0,0
"690",32.8967,-148.0717,0,0,0,0,0,0
"691",33.2733,-147.61,0,0,0,0,0,0
"692",34.3983,-146.6683,0,0,0,0,0,0
"693",34.765,-146.3617,0,0,0,0,0,0
"694",35.225,-144.7883,0,0,0,0,0,0
"695",35.3033,-144.2033,0,0,0,0,0,0
"696",35.6,-142.135,0,0,0,0,0,0
"697",35.4817,-141.5217,0,0,0,0,0,0
"698",35.4183,-139.385,0,0,0,0,0,0
"699",35.46,-138.7833,0,0,0,0,0,0
"700",30.25,-156.6,0,0,0,0,0,0
"701",30.5063,-156.3167,0,0,0,0,0,0
"702",32.0333,-154.3833,0,0,0,0,0,0
"703",33.05,-151.5667,0,0,0,0,0,0
"704",34.2513,-149.004,0,0,0,0,0,0
"705",35.6333,-146.8333,0,0,0,0,0,0
"706",36.7833,-144.8167,0,0,0,0,0,0
"707",38.5667,-142.1833,0,0,0,0,0,0
"708",21.9037,-157.7995,0,0,0,0,0,0
"709",24.9106,-157.4276,0,0,0,0,0,0
"710",24.0219,-157.6883,0,0,0,0,0,0
"711",27.7333,-157.1167,0,0,0,0,0,0
"712",26.8867,-157.1617,0,0,0,0,0,0
"713",30.4,-157.0833,0,0,0,0,0,0
"714",29.6667,-157.1333,0,0,0,0,0,0
"715",32.5083,-156.4917,0,0,0,0,0,0
"716",31.8833,-156.7667,0,0,0,0,0,0
"717",33.7975,-155.5469,0,0,0,0,0,0
"718",34.312,-155.3343,0,0,0,0,0,0
"719",35.6339,-154.1437,0,0,0,0,0,0
"720",36.1852,-153.2645,0,0,0,0,0,0
"721",37.6891,-150.3047,0,0,0,0,0,0
"722",37.184,-151.1729,0,0,0,0,0,0
"723",39.7213,-147.5733,0,0,0,0,0,0
"724",39.156,-148.2517,0,0,0,0,0,0
"725",41.2205,-146.6097,0,0,0,0,0,0
"726",41.6703,-146.3295,0,0,0,0,0,0
"727",5.62,83.003,0,0,0,0,0,0
"728",5.661,83.318,0,0,0,0,0,0
"729",5.898,85.037,0,0,0,0,0,0
"730",6.188,87.27,0,0,0,0,0,0
"731",6.17,87.014,0,0,0,0,0,0
"732",5.95,85.533,0,0,0,0,0,0
"733",5.922,85.258,0,0,0,0,0,0
"734",6.448,89.091,0,0,0,0,0,0
"735",6.198,87.365,0,0,0,0,0,0
"736",6.49,92.054,0,0,0,0,0,0
"737",6.613,90.768,0,0,0,0,0,0
"738",6.63,90.596,0,0,0,0,0,0
"739",6.506,92.351,0,0,0,0,0,0
"740",6.497,92.275,0,0,0,0,0,0
"741",6.658,93.964,0,0,0,0,0,0
"742",6.628,93.857,0,0,0,0,0,0
"743",-32.8627,-72.722,0,0,0,0,0,0
"744",-32.8038,-73.7013,0,0,0,0,0,0
"745",-32.4972,-77.4481,0,0,0,0,0,0
"746",-32.3752,-78.5765,0,0,0,0,0,0
"747",-32.2974,-79.2926,0,0,0,0,0,0
"748",-31.9064,-82.888,0,0,0,0,0,0
"749",-31.7669,-84.1668,0,0,0,0,0,0
"750",-31.6404,-85.3259,0,0,0,0,0,0
"751",-31.1997,-88.6466,0,0,0,0,0,0
"752",-31.0447,-89.5242,0,0,0,0,0,0
"753",-30.8015,-90.898,0,0,0,0,0,0
"754",-30.0226,-94.4413,0,0,0,0,0,0
"755",-29.7475,-95.5771,0,0,0,0,0,0
"756",-29.4875,-96.5755,0,0,0,0,0,0
"757",-28.5743,-99.8404,0,0,0,0,0,0
"758",-28.1803,-101.0936,0,0,0,0,0,0
"759",-27.8516,-102.1355,0,0,0,0,0,0
"760",-26.484,-105.4256,0,0,0,0,0,0
"761",-26.6293,-106.5247,0,0,0,0,0,0
"762",-27.4284,-108.8627,0,0,0,0,0,0
"763",-27.6904,-107.9983,0,0,0,0,0,0
"764",-28.7147,-104.5978,0,0,0,0,0,0
"765",-29.0015,-103.5481,0,0,0,0,0,0
"766",-29.1871,-102.8011,0,0,0,0,0,0
"767",-30.0421,-99.3412,0,0,0,0,0,0
"768",-30.3117,-98.1671,0,0,0,0,0,0
"769",-30.4833,-97.2965,0,0,0,0,0,0
"770",-31.0871,-94.2208,0,0,0,0,0,0
"771",-31.3323,-92.9653,0,0,0,0,0,0
"772",-31.4549,-92.1651,0,0,0,0,0,0
"773",-32,-88.4874,0,0,0,0,0,0
"774",-32.1755,-87.2985,0,0,0,0,0,0
"775",-32.2768,-86.3968,0,0,0,0,0,0
"776",-32.6918,-82.3284,0,0,0,0,0,0
"777",-32.8067,-81.1763,0,0,0,0,0,0
"778",-32.8447,-80.2808,0,0,0,0,0,0
"779",-32.9806,-77.0656,0,0,0,0,0,0
"780",-33.035,-75.7826,0,0,0,0,0,0
"781",-33.0137,-72.0418,0,0,0,0,0,0
"782",36.0533,-33.9307,10629.07,10862.09,6731.74,4.96,44.29,66.96
"783",35.2107,-33.9168,708.6,553.4831471,354.3,0,0,7.09
"784",34.4452,-34.4855,16297.91,4569.06,11691.98,2.48,233.84,199.83
"785",33.7943,-35.1402,3543.02,0,5314.53,3.19,428.35,2054.95
"786",33.4238,-35.0883,0,355.49,3897.33,0,74.4,88.22
"787",32.6252,-36.4067,9920.46,1206.33,1062.91,4.25,56.69,515.86
"788",31.8113,-36.8788,9566.16,553.4831471,4960.23,2.48,7.79,112.31
"789",30.9254,-37.0622,1771.51,1780.66,4251.63,0,87.16,55.27
"790",30.0679,-37.1043,6377.44,0,2480.12,0,41.45,119.75
"791",29.144,-37.2309,2834.42,21459.82,4960.23,0,17.86,46.77
"792",28.3091,-37.4031,6023.14,905.0822065,2834.42,1.77,25.51,141.72
"793",27.4098,-37.3969,354.3,0,2834.42,0,95.66,2240.96
"794",26.5065,-37.3597,0,0,708.6,0,35.78,58.46
